Player,Squad,Age,90s,xG,npxG,xA,KP,SCA,SuccTkon,PrgC,CPA,ELO
Enock Agyei,Burnley,19,0.6,0.17,0.17,0.17,1.67,1.55,40,13.3,5,1730
Will Alves,Cardiff City,19,7.4,0.11,0.11,0.2,1.49,3.77,52.2,3.92,0.95,1434
Nordin Amrabat,Hull City,37,3.2,0.09,0.09,0.16,1.88,4.36,40,4.38,1.88,1492
Jaidon Anthony,Burnley,24,40.7,0.23,0.23,0.2,1.99,4.3,41.3,4.52,2.09,1730
Adil Aouchiche,Sunderland,22,3.3,0.15,0.15,0.27,2.42,3.94,0,3.94,2.42,1547
Cian Ashford,Cardiff City,19,16.9,0.09,0.09,0.12,0.77,1.83,56.5,2.43,0.95,1434
Raees Bangura-Williams,Millwall,,6.8,0.16,0.16,0.06,0.59,1.77,55.6,1.18,0.29,1525
Tom Barkhuizen,Derby County,31,4.5,0.16,0.16,0.04,1.11,1.56,23.1,2.89,0.22,1468
Ashley Barnes,Norwich City,34,1.9,0.16,0.16,0.05,0,2.6,100,0,0,1507
Ashley Barnes,Burnley,34,1.5,0.6,0.6,0,0.67,0,33.3,0.67,0,1730
Louie Barry,Hull City,21,1.8,0.11,0.11,0.06,1.11,1.09,50,3.89,3.33,1492
Bachir Belloumi,Hull City,22,9.1,0.26,0.26,0.27,2.53,4.31,48.4,3.96,1.87,1492
Corey Blackett-Taylor,Derby County,26,4.5,0.22,0.22,0.11,1.56,3.12,53.6,6,2.44,1468
Ben Brereton,Sheffield Utd,25,10.9,0.39,0.39,0.1,1.28,2.64,38.5,2.29,0.64,1622
Andre Brooks,Sheffield Utd,20,10.6,0.25,0.25,0.25,1.23,2.84,46.6,2.64,1.79,1622
Jacob Brown,Luton Town,26,13.5,0.28,0.28,0.05,0.81,1.55,34.5,1.41,0.59,1498
Mustapha Bundu,Plymouth Argyle,27,25.6,0.21,0.21,0.14,1.37,2.46,25.5,1.56,0.74,1443
